,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,c,c,c,c,c,c,c,c,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,car_share,car_share,car_share,car_share,car_share,car_share,car_share,car_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cul_de_sac,4.0,0.011906224252864955,0.014611677972401895,0.0,0.0,0.008875739644970414,0.02078196389783537,0.02987341772151899,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.9880937757471351,0.014611677972401886,0.970126582278481,0.9792180361021646,0.9911242603550297,1.0,1.0,4.0,1140.5,682.226501977166,498.0,606.0,1074.0,1608.5,1916.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.69041575982343,0.0,0.0,3.5,7.5,9.0,4.0,13.0,26.0,0.0,0.0,0.0,13.0,52.0,4.0,0.9880937757471351,0.014611677972401886,0.970126582278481,0.9792180361021646,0.9911242603550297,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.005323945771852296,0.008451814638751668,0.0,0.0,0.001772151898734177,0.007096097670586473,0.01775147928994083,4.0,0.006582278481012657,0.013164556962025314,0.0,0.0,0.0,0.006582278481012657,0.02632911392405063
gridiron,10.0,0.09120370746335058,0.2036068833818858,0.0,0.0076014613561176374,0.026778975913631885,0.05015949635264945,0.6666666666666666,10.0,0.004780982905982906,0.011917203077590774,0.0,0.0,0.0,0.0,0.03739316239316239,10.0,0.9040153096306665,0.20212836538726262,0.3333333333333333,0.9495060873026603,0.9649331311928095,0.9851462009453389,1.0,10.0,1908.6,1158.8435998394643,1.0,1417.5,1948.5,2729.0,3782.0,10.0,9.4,22.589082908933392,0.0,0.0,0.0,0.0,70.0,10.0,18.3,33.83965458189877,0.0,0.0,0.5,12.5,100.0,10.0,35.6,50.69779745380136,0.0,12.5,21.0,37.0,173.0,10.0,0.9040153096306665,0.20212836538726262,0.3333333333333333,0.9495060873026603,0.9649331311928095,0.9851462009453389,1.0,10.0,0.004780982905982906,0.011917203077590774,0.0,0.0,0.0,0.0,0.03739316239316239,10.0,0.007559945844648121,0.014159638555675837,0.0,0.0,0.0001316829075585989,0.007609338541255932,0.04393673110720563,10.0,0.08364376161870246,0.20608781386075614,0.0,0.006587627582773214,0.008118698508621004,0.03208822892414316,0.6666666666666666
hibrido,5.0,0.02889367112527471,0.021917971786251173,0.0,0.01264822134387352,0.03464818763326226,0.04592673592126845,0.05124521072796934,5.0,0.012209067443016896,0.012979487482027794,0.0,0.0,0.009486166007905139,0.02569710224166211,0.02586206896551724,5.0,0.7588972614317082,0.4248862442051336,0.0,0.9228927203065134,0.9283761618370694,0.9653518123667377,0.9778656126482214,5.0,1720.0,1392.3370640760807,0.0,1237.0,1698.0,1811.0,3854.0,5.0,33.4,45.93255925811232,0.0,0.0,12.0,47.0,108.0,5.0,13.4,9.181503144910424,0.0,11.0,12.0,21.0,23.0,5.0,62.4,77.93138007247144,0.0,4.0,44.0,73.0,191.0,5.0,0.7588972614317082,0.4248862442051336,0.0,0.9228927203065134,0.9283761618370694,0.9653518123667377,0.9778656126482214,5.0,0.012209067443016896,0.012979487482027794,0.0,0.0,0.009486166007905139,0.02569710224166211,0.02586206896551724,5.0,0.0064404148224323585,0.004312889733344028,0.0,0.005507662835249042,0.006014215418261345,0.009486166007905139,0.01119402985074627,5.0,0.022453256302842353,0.02076225600922909,0.0,0.003162055335968379,0.02345415778251599,0.03991252050300711,0.0457375478927203
organico,88.0,0.01573663554830234,0.014946506297460199,0.0,0.004189035514579431,0.011257950048613736,0.02437085774661416,0.06456190138346932,88.0,0.007847346190085999,0.014944817230500592,0.0,0.0,0.0,0.008202942428390198,0.0728013977868375,88.0,0.9764160182616116,0.020855689971929246,0.9082412914188616,0.9647019567898811,0.9815390366567704,0.9926359036032195,1.0,88.0,1774.75,754.5017119485769,15.0,1196.25,1771.0,2224.5,3747.0,88.0,14.443181818181818,29.469196056160868,0.0,0.0,0.0,14.0,153.0,88.0,7.670454545454546,14.187351976773279,0.0,0.0,0.0,12.0,81.0,88.0,20.727272727272727,27.06897416954384,0.0,0.0,12.0,28.25,129.0,88.0,0.9764160182616116,0.020855689971929246,0.9082412914188616,0.9647019567898811,0.9815390366567704,0.9926359036032195,1.0,88.0,0.007847346190085999,0.014944817230500592,0.0,0.0,0.0,0.008202942428390198,0.0728013977868375,88.0,0.004625418431394221,0.008583004749786792,0.0,0.0,0.0,0.006750030340022416,0.04230118443316413,88.0,0.011111217116908118,0.012932713015060616,0.0,0.0,0.007773376330537609,0.016033552406373826,0.05438448566610455
