,PC1,PC2
a,-0.4854502080907606,0.013992260730035525
b,0.043756944392103425,0.5710167047672094
c,0.4887112577540091,-0.08833258617056997
car_mode,0.2084210050119844,0.07986177100510994
transit_mode,0.053375167014390004,0.5572851034664619
bicycle_mode,0.008058074441773484,0.06979680040980679
walked_mode,-0.027480828918725372,0.07036895072270935
car_share,0.48871125775400925,-0.08833258617057002
transit_share,0.04375694439210335,0.5710167047672097
bicycle_share,0.0004827590886715624,0.07277064425922986
walked_share,-0.48551290696173277,0.0039028939560762366
