cluster_p_tpc,p_walk,p_tpc,p_sitva,p_auto,p_moto,p_taxi,p_bike
0,0.32599999999999996,0.1795589519650655,0.15640174672489085,0.12313100436681222,0.12190829694323145,0.0441703056768559,0.011576419213973798
1,0.25459288537549407,0.17675494071146244,0.1635177865612648,0.1690592885375494,0.13525296442687748,0.040418972332015815,0.011335968379446639
2,0.26410526315789473,0.19842105263157894,0.07221052631578946,0.14231578947368423,0.1851578947368421,0.03763157894736842,0.016526315789473684
3,0.28,0.385,0.059,0.073,0.147,0.0,0.028
