cluster_p_bike,p_walk,p_tpc,p_sitva,p_auto,p_moto,p_taxi,p_bike
0,0.2510049751243781,0.1735621890547264,0.16048756218905474,0.17601990049751245,0.14021890547263682,0.036960199004975124,0.011975124378109454
1,0.35214084507042254,0.19756338028169013,0.13671830985915495,0.09826760563380281,0.12305633802816901,0.0341830985915493,0.010253521126760564
2,0.3005887850467289,0.17546261682242992,0.16637383177570092,0.1381355140186916,0.12178504672897197,0.049196261682242996,0.011397196261682244
3,0.2865,0.2206875,0.0655,0.11424999999999999,0.176125,0.041999999999999996,0.017937500000000002
