cluster_p_auto,p_walk,p_tpc,p_sitva,p_auto,p_moto,p_taxi,p_bike
0,0.23592270531400966,0.17391304347826086,0.17004830917874397,0.19079710144927536,0.12720772946859904,0.04854589371980676,0.011038647342995169
1,0.2741176470588235,0.21,0.06552941176470589,0.12817647058823528,0.17411764705882352,0.03970588235294118,0.017588235294117648
2,0.3389050279329609,0.1821340782122905,0.14835195530726256,0.11456983240223463,0.12416759776536312,0.041938547486033526,0.011083798882681564
3,0.3050909090909091,0.18001010101010104,0.15907070707070706,0.1168080808080808,0.14427272727272727,0.02853535353535354,0.013060606060606059
