cluster_p_taxi,p_walk,p_tpc,p_sitva,p_auto,p_moto,p_taxi,p_bike
0,0.251933014354067,0.17956937799043063,0.16257416267942584,0.1707511961722488,0.13857416267942585,0.035861244019138754,0.011665071770334929
1,0.36316129032258065,0.19962903225806453,0.134,0.09308064516129032,0.12108064516129032,0.032,0.009806451612903225
2,0.3005116279069767,0.1700232558139535,0.16410697674418606,0.14167441860465116,0.12332093023255813,0.05072093023255814,0.011758139534883721
3,0.2865,0.2206875,0.0655,0.11424999999999999,0.176125,0.041999999999999996,0.017937500000000002
