cluster_p_sitva,p_walk,p_tpc,p_sitva,p_auto,p_moto,p_taxi,p_bike
0,0.24467289719626167,0.17364953271028039,0.17350934579439253,0.17534112149532713,0.13228971962616823,0.04806542056074766,0.011200934579439251
1,0.2741176470588235,0.21,0.06552941176470589,0.12817647058823528,0.17411764705882352,0.03970588235294118,0.017588235294117648
2,0.29542268041237113,0.1803917525773196,0.15371134020618557,0.14002061855670103,0.13321649484536083,0.029175257731958764,0.012371134020618556
3,0.3372873563218391,0.18255172413793103,0.14633333333333334,0.11759770114942529,0.12418965517241379,0.04175287356321839,0.011293103448275863
