cluster_p_walk,p_walk,p_tpc,p_sitva,p_auto,p_moto,p_taxi,p_bike
0,0.25055744680851066,0.17910638297872342,0.1637744680851064,0.17296170212765957,0.13122978723404255,0.04432340425531915,0.011617021276595745
1,0.2621818181818182,0.24863636363636363,0.08118181818181819,0.13209090909090906,0.15581818181818183,0.048,0.015818181818181818
2,0.3389241706161138,0.1754691943127962,0.15198578199052135,0.11754976303317535,0.12240284360189574,0.043037914691943124,0.011800947867298578
3,0.24635555555555555,0.1809777777777778,0.1592888888888889,0.15208888888888888,0.16491111111111112,0.022911111111111115,0.010377777777777777
