cluster_p_moto,p_walk,p_tpc,p_sitva,p_auto,p_moto,p_taxi,p_bike
0,0.29004910714285714,0.17794642857142856,0.16801785714285716,0.14506696428571428,0.12191964285714285,0.04971875,0.011191964285714286
1,0.3538421052631579,0.19526315789473683,0.13760526315789473,0.09727631578947368,0.12469736842105264,0.03467105263157895,0.010289473684210527
2,0.25761827956989247,0.17076344086021505,0.15846774193548388,0.17220430107526882,0.14083870967741935,0.035548387096774194,0.01228494623655914
3,0.2865,0.2206875,0.0655,0.11424999999999999,0.176125,0.041999999999999996,0.017937500000000002
