,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,c,c,c,c,c,c,c,c,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,car_share,car_share,car_share,car_share,car_share,car_share,car_share,car_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
cluster_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cul_de_sac,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.007312614259597806,,0.007312614259597806,0.007312614259597806,0.007312614259597806,0.007312614259597806,0.007312614259597806,1.0,0.9926873857404022,,0.9926873857404022,0.9926873857404022,0.9926873857404022,0.9926873857404022,0.9926873857404022,1.0,2715.0,,2715.0,2715.0,2715.0,2715.0,2715.0,1.0,20.0,,20.0,20.0,20.0,20.0,20.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.9926873857404022,,0.9926873857404022,0.9926873857404022,0.9926873857404022,0.9926873857404022,0.9926873857404022,1.0,0.007312614259597806,,0.007312614259597806,0.007312614259597806,0.007312614259597806,0.007312614259597806,0.007312614259597806,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
cul_de_sac_alto_mean,6.0,0.011121424907029871,0.012372388521975216,0.0,0.0012209135305946567,0.007323277549334362,0.018968420300653824,0.0300450676014021,6.0,0.00916935755336841,0.016556956507668613,0.0,0.0008933889219773674,0.0036540573613347976,0.004689273208865295,0.04270051933064051,6.0,0.9797092175396017,0.016776216278331132,0.9572994806693594,0.9673079452412687,0.982313308296846,0.9910956148880734,1.0,6.0,1889.1666666666667,889.0676952103629,710.0,1641.75,1793.0,1945.75,3451.0,6.0,17.166666666666668,28.329607598176622,0.0,1.5,8.0,12.25,74.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.166666666666668,23.94507604219846,0.0,1.75,12.0,32.0,60.0,6.0,0.9797092175396017,0.016776216278331132,0.9572994806693594,0.9673079452412687,0.982313308296846,0.9910956148880734,1.0,6.0,0.00916935755336841,0.016556956507668613,0.0,0.0008933889219773674,0.0036540573613347976,0.004689273208865295,0.04270051933064051,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.011121424907029871,0.012372388521975216,0.0,0.0012209135305946567,0.007323277549334362,0.018968420300653824,0.0300450676014021
hibrido,1.0,0.01811846689895471,,0.01811846689895471,0.01811846689895471,0.01811846689895471,0.01811846689895471,0.01811846689895471,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.9818815331010453,,0.9818815331010453,0.9818815331010453,0.9818815331010453,0.9818815331010453,0.9818815331010453,1.0,1409.0,,1409.0,1409.0,1409.0,1409.0,1409.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,26.0,,26.0,26.0,26.0,26.0,26.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.9818815331010453,,0.9818815331010453,0.9818815331010453,0.9818815331010453,0.9818815331010453,0.9818815331010453,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.01811846689895471,,0.01811846689895471,0.01811846689895471,0.01811846689895471,0.01811846689895471,0.01811846689895471,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
organico,2.0,0.022659511031604056,0.032045387817637216,0.0,0.011329755515802028,0.022659511031604056,0.03398926654740608,0.04531902206320811,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9773404889683959,0.032045387817637244,0.9546809779367919,0.9660107334525939,0.9773404889683959,0.9886702444841979,1.0,2.0,1867.0,376.1808075912433,1601.0,1734.0,1867.0,2000.0,2133.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,33.94112549695428,0.0,12.0,24.0,36.0,48.0,2.0,14.0,19.79898987322333,0.0,7.0,14.0,21.0,28.0,2.0,0.9773404889683959,0.032045387817637244,0.9546809779367919,0.9660107334525939,0.9773404889683959,0.9886702444841979,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.014311270125223615,0.02023919230587614,0.0,0.007155635062611808,0.014311270125223615,0.021466905187835422,0.02862254025044723,2.0,0.00834824090638044,0.011806195511761076,0.0,0.00417412045319022,0.00834824090638044,0.012522361359570659,0.01669648181276088
organico_alto_mean,3.0,0.0023980815347721825,0.004153599058918171,0.0,0.0,0.0,0.0035971223021582736,0.007194244604316547,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9976019184652278,0.0041535990589181455,0.9928057553956835,0.9964028776978417,1.0,1.0,1.0,3.0,2620.3333333333335,768.2163323786688,2070.0,2181.5,2293.0,2895.5,3498.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,8.660254037844387,0.0,0.0,0.0,7.5,15.0,3.0,0.9976019184652278,0.0041535990589181455,0.9928057553956835,0.9964028776978417,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0023980815347721825,0.004153599058918171,0.0,0.0,0.0,0.0035971223021582736,0.007194244604316547
organico_bajo_mean,3.0,0.0022096432905880036,0.0023976618023462226,0.0,0.0009349289454001495,0.001869857890800299,0.0033144649358820056,0.004759071980963712,3.0,0.019129836315827268,0.028414583416501375,0.0,0.002804786836200449,0.005609573672400898,0.028694754473740904,0.05177993527508091,3.0,0.9786605203935848,0.0263972743867841,0.948220064724919,0.9703703165808589,0.9925205684367988,0.9938807482279175,0.9952409280190363,3.0,2293.0,1272.502652256568,879.0,1766.5,2654.0,3000.0,3346.0,3.0,21.0,24.55605831561735,0.0,7.5,15.0,31.5,48.0,3.0,1.6666666666666667,2.8867513459481287,0.0,0.0,0.0,2.5,5.0,3.0,5.333333333333333,9.237604307034013,0.0,0.0,0.0,8.0,16.0,3.0,0.9786605203935848,0.0263972743867841,0.948220064724919,0.9703703165808589,0.9925205684367988,0.9938807482279175,0.9952409280190363,3.0,0.019129836315827268,0.028414583416501375,0.0,0.002804786836200449,0.005609573672400898,0.028694754473740904,0.05177993527508091,3.0,0.0006232859636000997,0.0010795629565998983,0.0,0.0,0.0,0.0009349289454001495,0.001869857890800299,3.0,0.001586357326987904,0.002747651489302205,0.0,0.0,0.0,0.002379535990481856,0.004759071980963712
