,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,c,c,c,c,c,c,c,c,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,car_share,car_share,car_share,car_share,car_share,car_share,car_share,car_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cul_de_sac,2.0,0.02127659574468085,0.030089650263257342,0.0,0.010638297872340425,0.02127659574468085,0.031914893617021274,0.0425531914893617,2.0,0.022872340425531917,0.03234637403300165,0.0,0.011436170212765958,0.022872340425531917,0.03430851063829787,0.04574468085106383,2.0,0.45585106382978724,0.6446707568902885,0.0,0.22792553191489362,0.45585106382978724,0.6837765957446809,0.9117021276595745,2.0,428.5,605.9905114768712,0.0,214.25,428.5,642.75,857.0,2.0,21.5,30.405591591021544,0.0,10.75,21.5,32.25,43.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,28.284271247461902,0.0,10.0,20.0,30.0,40.0,2.0,0.45585106382978724,0.6446707568902885,0.0,0.22792553191489362,0.45585106382978724,0.6837765957446809,0.9117021276595745,2.0,0.022872340425531917,0.03234637403300165,0.0,0.011436170212765958,0.022872340425531917,0.03430851063829787,0.04574468085106383,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.02127659574468085,0.030089650263257342,0.0,0.010638297872340425,0.02127659574468085,0.031914893617021274,0.0425531914893617
gridiron,471.0,0.10468322508337549,0.14669896475825447,0.0,0.009426021120205214,0.04648925937800577,0.13800055876327066,0.7917917917917918,471.0,0.20312751429069387,0.13737750718855518,0.0,0.09212552856747913,0.1905537459283388,0.28379913534022927,1.0,471.0,0.6752041226216844,0.22072784617933736,0.0,0.5558730158730159,0.7101551480959097,0.8555847717601821,1.0,471.0,1022.7091295116772,584.7148080078944,0.0,569.5,944.0,1422.0,2906.0,471.0,292.7473460721868,234.08491337220687,0.0,126.0,247.0,402.5,2123.0,471.0,29.233545647558387,61.38300253290667,0.0,0.0,0.0,29.0,430.0,471.0,120.23142250530786,191.48264614967803,0.0,8.5,48.0,144.5,1469.0,471.0,0.6752041226216844,0.22072784617933736,0.0,0.5558730158730159,0.7101551480959097,0.8555847717601821,1.0,471.0,0.20312751429069387,0.13737750718855518,0.0,0.09212552856747913,0.1905537459283388,0.28379913534022927,1.0,471.0,0.019314458395269272,0.0375137029989242,0.0,0.0,0.0,0.020897442256145288,0.2632170978627671,471.0,0.08536876668810624,0.12920947054578116,0.0,0.006557659023231313,0.0351668169522092,0.10472525632101495,0.7624466571834992
hibrido,30.0,0.03182674406752505,0.08652762393060118,0.0,0.0,0.0071915508960388366,0.03034616276309506,0.4766743648960738,30.0,0.05440830401570985,0.06606760968595571,0.0,0.00383395624715967,0.030062078665308696,0.0771181750420667,0.2646258503401361,30.0,0.7470982852500984,0.3619195072099737,0.0,0.7955859551650624,0.9202474367781616,0.9654356208091123,0.9925373134328358,30.0,1141.4666666666667,688.5086198009651,0.0,731.5,1302.0,1417.0,2324.0,30.0,83.3,111.72939908855527,0.0,6.25,39.5,101.0,389.0,30.0,14.633333333333333,61.79749092849539,0.0,0.0,0.0,0.0,338.0,30.0,41.9,126.34472547428489,0.0,0.0,3.0,34.25,694.0,30.0,0.7470982852500984,0.3619195072099737,0.0,0.7955859551650624,0.9202474367781616,0.9654356208091123,0.9925373134328358,30.0,0.05440830401570985,0.06606760968595571,0.0,0.00383395624715967,0.030062078665308696,0.0771181750420667,0.2646258503401361,30.0,0.008007326459036382,0.028966146674397175,0.0,0.0,0.0,0.0,0.1561200923787529,30.0,0.02381941760848868,0.05898833145697467,0.0,0.0,0.0036967505678394295,0.024815061092178542,0.320554272517321
organico,124.0,0.028515130210877267,0.05033013396957819,0.0,0.0010163172185700866,0.014586484582568986,0.03216602297484651,0.3995416348357525,124.0,0.07904548529816206,0.0836340859059398,0.0,0.02394287022964335,0.05610273550466979,0.10665319044294416,0.6192893401015228,124.0,0.8440522877167672,0.2167572787409678,0.0,0.8384715771223942,0.9137662453699118,0.9554853941426671,1.0,124.0,1380.4516129032259,735.1522529639883,0.0,881.75,1308.5,1915.0,3643.0,124.0,118.89516129032258,126.937460982906,0.0,33.0,81.5,162.25,682.0,124.0,3.685483870967742,11.779385973398902,0.0,0.0,0.0,0.0,78.0,124.0,34.943548387096776,60.396697053306305,0.0,0.0,14.5,46.0,523.0,124.0,0.8440522877167672,0.2167572787409678,0.0,0.8384715771223942,0.9137662453699118,0.9554853941426671,1.0,124.0,0.07904548529816206,0.0836340859059398,0.0,0.02394287022964335,0.05610273550466979,0.10665319044294416,0.6192893401015228,124.0,0.00275086192126214,0.0077875172315012035,0.0,0.0,0.0,0.0,0.05256064690026954,124.0,0.025764268289615127,0.0486731516130398,0.0,0.0,0.013210145203816186,0.030031248771667775,0.3995416348357525
