,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,c,c,c,c,c,c,c,c,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,car_share,car_share,car_share,car_share,car_share,car_share,car_share,car_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gridiron,252.0,0.21169323602262693,0.20379950344892933,0.0,0.048921354653838726,0.1337068267466611,0.3394940719221641,0.8035897435897436,252.0,0.2785721163847741,0.1362310271056613,0.0,0.18863304385741797,0.26563338193139446,0.35549069635043984,0.7169082125603865,252.0,0.4819568698148211,0.2250804154757445,0.0,0.30387795190605715,0.4877716980235036,0.6616776016778253,0.9327666151468316,252.0,802.0238095238095,575.3967758252137,0.0,369.5,684.0,1134.0,3102.0,252.0,435.45238095238096,282.75889260797817,0.0,224.75,387.0,596.0,1762.0,252.0,60.607142857142854,79.60740588841153,0.0,0.0,27.5,94.75,399.0,252.0,244.07539682539684,285.813423438736,0.0,61.75,127.0,311.75,1474.0,252.0,0.4819568698148211,0.2250804154757445,0.0,0.30387795190605715,0.4877716980235036,0.6616776016778253,0.9327666151468316,252.0,0.2785721163847741,0.1362310271056613,0.0,0.18863304385741797,0.26563338193139446,0.35549069635043984,0.7169082125603865,252.0,0.04012542285006856,0.046961254634298004,0.0,0.0,0.020691472901689014,0.06410942164888926,0.1934389140271493,252.0,0.17156781317255837,0.19024433938662125,0.0,0.037436717292832405,0.0800702221670707,0.24451408396939678,0.7558974358974359
hibrido,27.0,0.11311727903693035,0.15955049052701303,0.0,0.029581072935503314,0.04887820512820513,0.09761455589488013,0.6097328244274809,27.0,0.21680872953759117,0.09963117653954422,0.02044497895369814,0.15834143697356517,0.2033333333333333,0.2667779660453835,0.4631294964028777,27.0,0.6700739914254784,0.20936954560032653,0.1669847328244275,0.5719636836635107,0.7396907216494846,0.8128728702433263,0.9795550210463019,27.0,1374.7037037037037,602.323438209509,175.0,929.0,1372.0,1798.5,2530.0,27.0,433.48148148148147,248.11572522799338,34.0,261.5,380.0,561.0,1072.0,27.0,67.03703703703704,109.41821022729593,0.0,0.0,30.0,73.0,495.0,27.0,132.66666666666666,179.37626976232437,0.0,25.0,66.0,124.5,639.0,27.0,0.6700739914254784,0.20936954560032653,0.1669847328244275,0.5719636836635107,0.7396907216494846,0.8128728702433263,0.9795550210463019,27.0,0.21680872953759117,0.09963117653954422,0.02044497895369814,0.15834143697356517,0.2033333333333333,0.2667779660453835,0.4631294964028777,27.0,0.03384298644850906,0.052743414682156715,0.0,0.0,0.01090014064697609,0.04696230051806918,0.2357142857142857,27.0,0.07927429258842128,0.13652193048868969,0.0,0.011799165994081248,0.03276699029126214,0.06807732807962091,0.6097328244274809
organico,77.0,0.16382656361043768,0.18409853321355774,0.0,0.03546712802768166,0.08411214953271029,0.2451093210586882,0.7547547547547547,77.0,0.21473031637730333,0.1414400734605061,0.0,0.09745762711864407,0.1880733944954129,0.3045310853530032,0.5891525423728814,77.0,0.5824820810512201,0.2519591457037678,0.0,0.4032258064516129,0.6213768115942029,0.7955555555555556,0.9276243093922651,77.0,866.8441558441558,568.2920872629317,0.0,441.0,768.0,1177.0,2240.0,77.0,317.4025974025974,254.87908690305125,0.0,120.0,254.0,439.0,1218.0,77.0,35.18181818181818,52.84603437612227,0.0,0.0,16.0,48.0,271.0,77.0,185.97402597402598,247.2533845240106,0.0,27.0,75.0,244.0,1059.0,77.0,0.5824820810512201,0.2519591457037678,0.0,0.4032258064516129,0.6213768115942029,0.7955555555555556,0.9276243093922651,77.0,0.21473031637730333,0.1414400734605061,0.0,0.09745762711864407,0.1880733944954129,0.3045310853530032,0.5891525423728814,77.0,0.02568537718917979,0.0353121509825855,0.0,0.0,0.01297405189620758,0.03372434017595308,0.1856164383561644,77.0,0.1381411864212579,0.17191356651693313,0.0,0.02414928649835346,0.05782575173477255,0.1829710144927536,0.7547547547547547
