,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,c,c,c,c,c,c,c,c,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,car_share,car_share,car_share,car_share,car_share,car_share,car_share,car_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
cluster_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gridiron,43.0,0.28510722763261825,0.20999669454374031,0.0,0.07701301873201075,0.2534369396294083,0.4637574142181396,0.6889692585895117,43.0,0.310543059857923,0.12949058673016414,0.08101472995090016,0.213370361987011,0.2957568081063964,0.4045291399679056,0.6958925750394944,43.0,0.40434971250945884,0.18094211209768324,0.03842412451361868,0.2721172293844471,0.3733794295592048,0.5084547235710026,0.8637189582071472,43.0,646.7906976744187,432.06693474724796,38.0,332.5,487.0,920.0,1987.0,43.0,501.6511627906977,346.7985475144605,48.0,246.5,431.0,582.5,1762.0,43.0,61.30232558139535,69.93586683993685,0.0,3.0,38.0,101.0,304.0,43.0,328.2093023255814,284.71862117666234,0.0,90.0,261.0,488.0,1132.0,43.0,0.40434971250945884,0.18094211209768324,0.03842412451361868,0.2721172293844471,0.3733794295592048,0.5084547235710026,0.8637189582071472,43.0,0.310543059857923,0.12949058673016414,0.08101472995090016,0.213370361987011,0.2957568081063964,0.4045291399679056,0.6958925750394944,43.0,0.04654348014444083,0.04782062886427602,0.0,0.00192492781520693,0.04252577319587629,0.06848483434519648,0.1817095038852361,43.0,0.23856374748817732,0.19543215649759987,0.0,0.05959991271846778,0.1753424657534247,0.38721329805232885,0.6835443037974683
gridiron_alto_street,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
gridiron_bajo_street,284.0,0.18699555179359373,0.19338775702190622,0.0,0.04229854413340652,0.10379415641621789,0.29751831986099575,0.8035897435897436,284.0,0.26209031290590024,0.1302790309066057,0.0,0.1717720908888143,0.2456460572830243,0.33285059373686426,0.7169082125603865,284.0,0.5438718817793793,0.22524325162357242,0.0,0.37467551684775713,0.5529516509806967,0.7351363491250343,0.9795550210463019,284.0,927.6478873239437,599.687093875541,0.0,440.0,789.5,1331.25,3102.0,284.0,416.1654929577465,257.95646509891657,0.0,223.75,370.5,570.25,1727.0,284.0,59.179577464788736,81.48922713923702,0.0,0.0,27.0,83.5,495.0,284.0,216.73239436619718,269.86596373297226,0.0,49.0,110.0,261.0,1474.0,284.0,0.5438718817793793,0.22524325162357242,0.0,0.37467551684775713,0.5529516509806967,0.7351363491250343,0.9795550210463019,284.0,0.26209031290590024,0.1302790309066057,0.0,0.1717720908888143,0.2456460572830243,0.33285059373686426,0.7169082125603865,284.0,0.03768802008407331,0.04620556485602093,0.0,0.0,0.018389652535994,0.05827574480488723,0.2357142857142857,284.0,0.1493075317095204,0.17929186333991587,0.0,0.030603732440793147,0.06566563118885657,0.19761449737682701,0.7558974358974359
organico,28.0,0.13032713971855722,0.1953513741633562,0.0,0.0,0.04482778639220357,0.17554078635925308,0.7547547547547547,28.0,0.17147296244157265,0.17493188652264818,0.0,0.0,0.11679356705453908,0.2860339441020012,0.5891525423728814,28.0,0.44819989783987013,0.33715485419033153,0.0,0.10099750623441398,0.5102970384428653,0.778723611265868,0.8762567672080434,28.0,525.3571428571429,555.7191013243288,0.0,6.75,340.0,975.75,2173.0,28.0,218.42857142857142,271.75866589084603,0.0,0.0,115.0,323.5,892.0,28.0,12.464285714285714,20.402400263398825,0.0,0.0,0.0,23.75,71.0,28.0,133.71428571428572,247.1767784165005,0.0,0.0,39.0,94.5,1059.0,28.0,0.44819989783987013,0.33715485419033153,0.0,0.10099750623441398,0.5102970384428653,0.778723611265868,0.8762567672080434,28.0,0.17147296244157265,0.17493188652264818,0.0,0.0,0.11679356705453908,0.2860339441020012,0.5891525423728814,28.0,0.010656210207360298,0.017363538453552218,0.0,0.0,0.0,0.01572508413853002,0.07272727272727272,28.0,0.11967092951119693,0.19160631169516404,0.0,0.0,0.03429825631020607,0.1577916068595603,0.7547547547547547
