edge_length_density,street_density_km2,node_density_km2,edge_density_km2,k_avg,edge_length_avg,streets_per_node_avg,intersection_density_km2,segment_density_km2,street_length_avg,circuity_avg,network_connectivity_index,mean_intersection_angle,std_intersection_angle,orthogonal_proportion,angle_coefficient_variation,dead_end_ratio,cv_dead_end_distances,poly_id
331064780239139.6,183938764006488.97,2080249928138.027,4667877887529.231,4.487804878048781,70.92404476209992,3.1219512195121952,1877298715636.756,2689103565641.84,68.40151727759364,1.0067563354524542,0.43902439024390244,58.71607048989805,36.88840331471086,0.5641025641025641,0.6282505454968655,0.024390243902439025,0.0,0
86181971200811.92,58853560181717.99,354725735915.79443,587831219517.6023,3.3142857142857145,146.61006142466587,2.6285714285714286,283780588732.63556,385130798994.29114,152.81447325273612,1.0498174996135692,0.5357142857142857,50.96645384452065,30.10267039315633,0.23333333333333334,0.5906369410159117,0.05714285714285714,0.0,1
137593795858683.19,81450095698168.88,457390020666.11115,922666076171.2932,4.0344827586206895,149.1263192742971,2.7241379310344827,378529672275.40234,536250369056.81995,151.88818581407557,1.1630537167257506,0.45689655172413796,52.708292304388785,28.51615470211845,0.26506024096385544,0.541018375959489,0.017241379310344827,0.0,2
133026921374387.67,66513460687193.836,841235802583.7736,1577317129844.5754,3.75,84.33746065225056,2.0625,420617901291.8868,788658564922.2877,84.33746065225056,1.0918003693786404,0.375,46.147448134847764,26.59245647358203,0.15,0.5762497721623964,0.0,0.0,3
16472869795862.172,8236434897931.087,70857978557.54065,94477304743.38753,2.6666666666666665,174.3579565548001,1.6666666666666667,23619326185.84688,47238652371.69376,174.35795655480013,1.2944417698023283,0.6666666666666666,87.07406033962788,0.0,1.0,0.0,0.0,0.0,4
59019234328577.91,29509617164288.953,70020347373.54285,147820733344.146,4.222222222222222,399.26222116063656,2.5555555555555554,54460270179.42221,73910366672.073,399.26222116063656,1.2654657753890415,0.38888888888888884,40.22765934431719,21.22098240951182,0.03571428571428571,0.5275221764178937,0.0,0.0,5
304916183397067.94,173896717691817.3,1804533445686.4373,4425403450135.786,4.904761904761905,68.90132997652724,2.9149659863945576,1473088527090.9692,2553353446957.6797,68.10522761704425,1.0564437429278508,0.298469387755102,54.686023641207974,35.47796740481939,0.41140215716486905,0.64875748943804,0.0,0.0,6
177857089716788.25,89125038225603.8,623585509716.1965,1375847394453.1953,4.412698412698413,129.27094271779626,2.492063492063492,435520038531.9468,702770971267.4595,126.81946447626494,1.0628705597796873,0.3571428571428571,53.586793972591074,30.53464798743646,0.2636363636363636,0.5698166604827026,0.0,0.0,7
45109829007801.62,22554914503900.81,113670947925.16069,233486271413.8436,4.108108108108108,193.20120508433038,2.108108108108108,61443755635.22199,116743135706.9218,193.20120508433038,1.2528813105551064,0.24324324324324326,39.967517832976846,23.272287030457882,0.017857142857142856,0.5822800186819739,0.0,0.0,8
45040802636652.54,22520401318326.27,255227679479.92947,382841519219.8942,3.0,117.64868849238441,2.5,191420759609.9471,191420759609.9471,117.64868849238441,1.0259169760752114,0.375,51.82211902432425,31.427810665669433,0.0,0.6064555301360381,0.0,0.0,9
250257707135761.34,131444780920659.66,2350035234354.8706,4090802074617.738,3.4814814814814814,61.175706516954016,2.4814814814814814,1653728498249.7239,2262996892341.7275,58.08438419225661,1.021700061111168,0.4907407407407407,53.87589310274233,31.765101666496573,0.34615384615384615,0.5895976815812581,0.0,0.0,10
68658236601072.734,34329118300536.367,509187231406.18823,814699570249.9011,3.2,84.2743007462401,2.2,305512338843.71295,407349785124.95056,84.2743007462401,1.0365367447239395,0.5,64.64396000605848,19.967853573503167,0.25,0.30888970248158937,0.0,0.0,11
161820449233178.44,86212440155443.69,1054205921572.8495,2208812407105.018,4.190476190476191,73.26129132227601,2.5714285714285716,702803947715.233,1204806767511.828,71.55706830356704,1.0048220163131274,0.3333333333333333,52.56976476612142,35.69726824841103,0.3783783783783784,0.6790456150455543,0.0,0.0,12
31750078175926.73,18350050850408.13,158603416055.78458,291830285542.6436,3.68,108.79637840496598,2.28,101506186275.70213,171291689340.24734,107.12750233876368,1.176588836815948,0.51,44.27821862850209,27.067804210839466,0.14814814814814814,0.6113119508700334,0.0,0.0,13
138055820028211.03,69027910014105.516,324735157316.61957,671865842724.0404,4.137931034482759,205.48123040229558,2.5172413793103448,235153044953.41415,335932921362.0202,205.48123040229558,1.1771818256454065,0.39655172413793105,48.91483489426417,26.294129696558937,0.15555555555555556,0.5375491863234773,0.0,0.0,14
76347410592595.55,42876289611191.305,301275657987.1788,627657620806.6224,4.166666666666667,121.63862599880345,2.375,200850438658.1192,338935115235.5761,126.50294314116799,1.2458271575162378,0.3125,46.19015121450577,31.225669393948408,0.15151515151515152,0.6760244028848763,0.0,0.0,15
210282178486725.6,193350531182220.1,1542938979145.3416,2178266794087.541,2.823529411764706,96.53646608280194,3.0,1497558420935.1843,1996744561246.9126,96.83288234999772,1.192053831861528,0.6323529411764707,41.863850895881164,28.256394437119102,0.13333333333333333,0.6749592747068366,0.029411764705882353,0.0,16
153206393952566.03,130248729928239.86,914412012378.8141,1354684462783.4282,2.962962962962963,113.09378542496722,2.8518518518518516,812810677670.0569,1151481793365.914,113.11401593898225,1.03069898288775,0.6851851851851851,60.20357573995534,34.16809611949141,0.5714285714285714,0.5675426367875197,0.0,0.0,17
