,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,c,c,c,c,c,c,c,c,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,car_share,car_share,car_share,car_share,car_share,car_share,car_share,car_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
cluster_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gridiron,7.0,0.10668363377809964,0.08816505936001917,0.0,0.04592314901593252,0.100494233937397,0.1565327970663039,0.2413793103448276,7.0,0.018620364401083177,0.025660254282926842,0.0,0.0,0.002566295979469632,0.03464595278473176,0.05848434925864909,7.0,0.8746960018208172,0.08242311243223875,0.7586206896551724,0.8252726131638817,0.8593481989708405,0.9284620968857068,0.9974337040205303,7.0,863.7142857142857,583.785267110466,44.0,497.0,969.0,1093.5,1852.0,7.0,26.428571428571427,41.39588201281678,0.0,0.0,3.0,41.0,100.0,7.0,15.571428571428571,19.346465162548796,0.0,0.0,5.0,27.5,49.0,7.0,44.57142857142857,37.748541441390564,0.0,7.0,69.0,75.0,79.0,7.0,0.8746960018208172,0.08242311243223875,0.7586206896551724,0.8252726131638817,0.8593481989708405,0.9284620968857068,0.9974337040205303,7.0,0.018620364401083177,0.025660254282926842,0.0,0.0,0.002566295979469632,0.03464595278473176,0.05848434925864909,7.0,0.0169729590509882,0.01935413793074967,0.0,0.0,0.008576329331046312,0.033770722390603844,0.04269293924466339,7.0,0.08971067472711144,0.08563201984370623,0.0,0.030065897858319604,0.06466729147141519,0.13089816277844907,0.2413793103448276
organico,11.0,0.024726537138655292,0.027696227094218644,0.0,0.010804829587320298,0.01778093883357041,0.024308302585070198,0.09564393939393939,11.0,0.01901544565948262,0.04428256835728171,0.0,0.0,0.0,0.00974891268378008,0.1483050847457627,11.0,0.956258017201862,0.04438707239931868,0.8516949152542372,0.9548548094373865,0.9781094527363184,0.9820597568275586,0.9869706840390879,11.0,724.0,362.51537898411976,303.0,471.0,549.0,962.0,1381.0,11.0,10.545454545454545,20.944515446119237,0.0,0.0,0.0,11.0,70.0,11.0,3.0,5.385164807134504,0.0,0.0,0.0,3.5,14.0,11.0,17.545454545454547,25.425827956484074,0.0,4.5,11.0,16.5,89.0,11.0,0.956258017201862,0.04438707239931868,0.8516949152542372,0.9548548094373865,0.9781094527363184,0.9820597568275586,0.9869706840390879,11.0,0.01901544565948262,0.04428256835728171,0.0,0.0,0.0,0.00974891268378008,0.1483050847457627,11.0,0.003355560232351826,0.005894720418809545,0.0,0.0,0.0,0.004978662873399715,0.0155902004454343,11.0,0.02137097690630347,0.02546075688008828,0.0,0.008201978150249766,0.01302931596091205,0.021604188360522966,0.08428030303030302
organico_alto_edge,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,23.0,,23.0,23.0,23.0,23.0,23.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
organico_bajo_edge,23.0,0.04077391744027029,0.06182382252431977,0.0,0.009297610829425441,0.01949860724233983,0.04330358510410179,0.2697594501718213,23.0,0.010335378156417921,0.016019119957815034,0.0,0.0,0.0,0.01476407758363802,0.05203252032520325,23.0,0.9488907044033117,0.05993761645365229,0.7302405498281787,0.9412731085909585,0.9566059666795815,0.983388019770317,1.0,23.0,1192.4347826086957,714.3677959049436,352.0,585.0,1174.0,1472.5,2759.0,23.0,11.782608695652174,15.544529940374321,0.0,0.0,0.0,21.0,44.0,23.0,9.521739130434783,12.010864646861084,0.0,0.0,4.0,19.0,37.0,23.0,30.695652173913043,40.1094352792329,0.0,0.0,20.0,49.0,157.0,23.0,0.9488907044033117,0.05993761645365229,0.7302405498281787,0.9412731085909585,0.9566059666795815,0.983388019770317,1.0,23.0,0.010335378156417921,0.016019119957815034,0.0,0.0,0.0,0.01476407758363802,0.05203252032520325,23.0,0.010100555118500288,0.015807182332805106,0.0,0.0,0.004675324675324675,0.01247050975814323,0.0589171974522293,23.0,0.03067336232177001,0.05891085050473208,0.0,0.0,0.01528013582342954,0.029234214061800268,0.2697594501718213
