,a,b,c,car_mode,transit_mode,bicycle_mode,walked_mode,car_share,transit_share,bicycle_share,walked_share
count,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0,1220.0
mean,0.10831780825952497,0.16836540797204444,0.6979069477028568,1133.672131147541,254.78770491803277,31.024590163934427,124.31557377049181,0.6979069477028568,0.16836540797204444,0.02034623970126238,0.08797156855826262
std,0.15806396176904675,0.14858507430794596,0.26145240592670144,716.8309626984811,256.24828379836873,61.209663098907626,206.50301668895625,0.26145240592670144,0.14858507430794596,0.03672623452490578,0.14136741835614433
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.009738695943113882,0.03801252887611001,0.5277864265984,572.0,49.0,0.0,9.0,0.5277864265984,0.03801252887611001,0.0,0.0064007254427815175
50%,0.040999458364511285,0.1390063424947146,0.7622749919639986,1026.0,188.5,0.0,46.0,0.7622749919639986,0.1390063424947146,0.0,0.031542862272559806
75%,0.13320321793078546,0.26467492135194004,0.92213331633141,1597.0,387.0,35.0,137.5,0.92213331633141,0.26467492135194004,0.025427398237371286,0.09488394706802519
max,0.8035897435897436,1.0,1.0,3854.0,2123.0,495.0,1474.0,1.0,1.0,0.2632170978627671,0.7624466571834992
