,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,c,c,c,c,c,c,c,c,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,car_share,car_share,car_share,car_share,car_share,car_share,car_share,car_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston_MA,356.0,0.19386378485871575,0.19850420664489707,0.0,0.04231278914765153,0.11137182145585506,0.31468573730862204,0.8035897435897436,356.0,0.26007933535823147,0.13770611916353034,0.0,0.16861621213780678,0.2483163989886178,0.33729789017056094,0.7169082125603865,356.0,0.5179669921426033,0.23707356650743153,0.0,0.34219710853521706,0.5213611528930651,0.7166197500059222,0.9795550210463019,356.0,859.4775280898876,593.5856733499106,0.0,385.0,731.0,1207.75,3102.0,356.0,409.7696629213483,278.042711848882,0.0,204.0,364.5,568.25,1762.0,356.0,55.59550561797753,77.93369794587113,0.0,0.0,25.5,77.25,495.0,356.0,223.05898876404495,272.82871767205916,0.0,47.0,112.5,285.0,1474.0,356.0,0.5179669921426033,0.23707356650743153,0.0,0.34219710853521706,0.5213611528930651,0.7166197500059222,0.9795550210463019,356.0,0.26007933535823147,0.13770611916353034,0.0,0.16861621213780678,0.2483163989886178,0.33729789017056094,0.7169082125603865,356.0,0.03652567762891535,0.045444596658480746,0.0,0.0,0.017658918465625204,0.0571596090468132,0.2357142857142857,356.0,0.1573381072298004,0.1843074458157209,0.0,0.03084165720644773,0.07060637325361623,0.21546062633019156,0.7558974358974359
Chandler_AZ,107.0,0.023261254724504164,0.064932350668832,0.0,0.004176390356889954,0.01277955271565495,0.027721941155518005,0.6666666666666666,107.0,0.007471230196284874,0.014342054385623677,0.0,0.0,0.0,0.008526662269938192,0.0728013977868375,107.0,0.9599217206866877,0.1144603296648842,0.0,0.9607405321501669,0.9782857142857143,0.9921291049139854,1.0,107.0,1760.9906542056074,827.2863857593545,0.0,1190.5,1770.0,2221.0,3854.0,107.0,14.317757009345794,29.375448011305746,0.0,0.0,0.0,12.0,153.0,107.0,8.794392523364486,16.663562280683195,0.0,0.0,0.0,12.0,100.0,107.0,23.77570093457944,34.11144565596575,0.0,0.0,14.0,31.0,191.0,107.0,0.9599217206866877,0.1144603296648842,0.0,0.9607405321501669,0.9782857142857143,0.9921291049139854,1.0,107.0,0.007471230196284874,0.014342054385623677,0.0,0.0,0.0,0.008526662269938192,0.0728013977868375,107.0,0.005010599416904145,0.009002587489171637,0.0,0.0,0.0,0.007944590623512878,0.04393673110720563,107.0,0.018250655307600012,0.06493291686563454,0.0,0.0,0.007450050795800881,0.01780160304834022,0.6666666666666666
Peachtree_GA,16.0,0.008999325805026413,0.013345874755799009,0.0,0.0,0.0033144649358820056,0.01185179245695625,0.04531902206320811,16.0,0.007482391782955629,0.015801795476300153,0.0,0.0,0.0,0.0051580268682754876,0.05177993527508091,16.0,0.9835182824120179,0.017847925167571825,0.948220064724919,0.9720289934604109,0.99195117763983,0.9964306960142773,1.0,16.0,2120.8125,843.0342989266017,710.0,1627.25,2011.0,2669.25,3498.0,16.0,11.625,20.892981277612506,0.0,0.0,0.0,13.5,74.0,16.0,4.9375,13.203377093254085,0.0,0.0,0.0,0.0,48.0,16.0,11.25,17.410724664221572,0.0,0.0,0.0,16.25,60.0,16.0,0.9835182824120179,0.017847925167571825,0.948220064724919,0.9720289934604109,0.99195117763983,0.9964306960142773,1.0,16.0,0.007482391782955629,0.015801795476300153,0.0,0.0,0.0,0.0051580268682754876,0.05177993527508091,16.0,0.00303817906501264,0.00817857570807811,0.0,0.0,0.0,0.0,0.02862254025044723,16.0,0.005961146740013773,0.00928120193238176,0.0,0.0,0.0,0.007836408697309935,0.0300450676014021
Philadelphia_PA,627.0,0.08586767252621012,0.13444273963492087,0.0,0.006613583045051493,0.03120567375886524,0.1029670210198586,0.7917917917917918,627.0,0.17089743733526516,0.13755292004296757,0.0,0.05920725186512364,0.1431623931623932,0.2567258636821014,1.0,627.0,0.711336963503756,0.23934097881456917,0.0,0.5839067707976971,0.7673098751418842,0.9008760695401976,1.0,627.0,1097.2456140350878,637.9805476611268,0.0,600.5,1014.0,1514.0,3643.0,627.0,247.47846889952154,226.1817049919187,0.0,77.5,191.0,361.5,2123.0,627.0,23.38915470494418,56.0456660884988,0.0,0.0,0.0,17.5,430.0,627.0,99.29665071770334,174.10927503525232,0.0,2.0,37.0,96.5,1469.0,627.0,0.711336963503756,0.23934097881456917,0.0,0.5839067707976971,0.7673098751418842,0.9008760695401976,1.0,627.0,0.17089743733526516,0.13755292004296757,0.0,0.05920725186512364,0.1431623931623932,0.2567258636821014,1.0,627.0,0.015436102992311681,0.033970066727112704,0.0,0.0,0.0,0.013967596291410419,0.2632170978627671,627.0,0.07043156953389844,0.11763378799414426,0.0,0.0012317304276480059,0.02603123748498198,0.07730883273293443,0.7624466571834992
Salt_Lake_UT,72.0,0.06532870942338115,0.07361174942927735,0.0,0.011084403474492474,0.039790472342180805,0.07846765594455304,0.2971473851030111,72.0,0.05789576498560124,0.05505698024270827,0.0,0.023370976116303215,0.040879181171382825,0.07724128116509014,0.2999273783587509,72.0,0.8767755255910177,0.11227756126143262,0.485838779956427,0.8425854426813628,0.9069151559995068,0.9595894729064274,0.994979079497908,72.0,1740.486111111111,684.1516591824712,584.0,1238.25,1675.5,2221.5,3834.0,72.0,104.22222222222223,96.54382675828123,0.0,41.0,73.0,130.25,459.0,72.0,27.944444444444443,31.18499498738243,0.0,0.0,15.0,48.5,117.0,72.0,84.19444444444444,102.805112889908,0.0,12.75,40.5,125.5,490.0,72.0,0.8767755255910177,0.11227756126143262,0.485838779956427,0.8425854426813628,0.9069151559995068,0.9595894729064274,0.994979079497908,72.0,0.05789576498560124,0.05505698024270827,0.0,0.023370976116303215,0.040879181171382825,0.07724128116509014,0.2999273783587509,72.0,0.016222985794160736,0.018919742791121925,0.0,0.0,0.007711005624510936,0.02771992749431139,0.08378088077336197,72.0,0.049105723629220416,0.06395904157176206,0.0,0.006869941036912985,0.02523729690054382,0.058589294443539185,0.2686212361331221
Santa_Fe_NM,42.0,0.04658517728805055,0.06474769522830266,0.0,0.00712021018154159,0.020408218349852084,0.05195771527644,0.2697594501718213,42.0,0.01374347977760722,0.027110374545154,0.0,0.0,0.0,0.01610013589987437,0.1483050847457627,42.0,0.9396713429343422,0.06582909526497686,0.7302405498281787,0.9368855778967163,0.956986368919728,0.9821394089969941,1.0,42.0,987.1190476190476,650.5776870946409,23.0,502.0,955.0,1281.0,2759.0,42.0,13.619047619047619,22.899517921171775,0.0,0.0,0.0,15.5,100.0,42.0,8.595238095238095,12.57961867623534,0.0,0.0,0.0,16.25,49.0,42.0,28.833333333333332,36.44368637257713,0.0,0.0,11.0,49.5,157.0,42.0,0.9396713429343422,0.06582909526497686,0.7302405498281787,0.9368855778967163,0.956986368919728,0.9821394089969941,1.0,42.0,0.01374347977760722,0.027110374545154,0.0,0.0,0.0,0.01610013589987437,0.1483050847457627,42.0,0.00923892008662605,0.01481095619895708,0.0,0.0,0.0,0.011266362040067042,0.0589171974522293,42.0,0.03734625720142449,0.0607374815113973,0.0,0.0,0.01442739822845685,0.03797630082421024,0.2697594501718213
