,a,a,a,a,a,a,a,a,b,b,b,b,b,b,b,b,c,c,c,c,c,c,c,c,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,car_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,transit_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,bicycle_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,walked_mode,car_share,car_share,car_share,car_share,car_share,car_share,car_share,car_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,transit_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,bicycle_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share,walked_share
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cul_de_sac,11.0,0.009085544497919236,0.014851283236435558,0.0,0.0,0.0,0.013757190133115462,0.0425531914893617,11.0,0.008705255858300195,0.017708156960673783,0.0,0.0,0.0,0.003656307129798903,0.04574468085106383,11.0,0.8913001087346896,0.2968170890136023,0.0,0.9637130314739202,0.9902370990237099,1.0,1.0,11.0,1340.7272727272727,851.8463583192795,0.0,676.0,1506.0,1934.0,2715.0,11.0,12.454545454545455,24.533094531117094,0.0,0.0,0.0,10.0,74.0,11.0,1.4545454545454546,3.2669140289770824,0.0,0.0,0.0,0.0,9.0,11.0,9.0,18.606450494385005,0.0,0.0,0.0,3.5,52.0,11.0,0.8913001087346896,0.2968170890136023,0.0,0.9637130314739202,0.9902370990237099,1.0,1.0,11.0,0.008705255858300195,0.017708156960673783,0.0,0.0,0.0,0.003656307129798903,0.04574468085106383,11.0,0.001935980280673562,0.005352092023416835,0.0,0.0,0.0,0.0,0.01775147928994083,11.0,0.007149564217245676,0.014272461693649943,0.0,0.0,0.0,0.0048814504881450485,0.0425531914893617
gridiron,792.0,0.1365294425193918,0.17174064465098435,0.0,0.01919936309325801,0.06274405830206124,0.17631834284195536,0.8035897435897436,792.0,0.2136530286183947,0.14543111040879542,0.0,0.09358330495970946,0.20411513240602225,0.3034793706081523,1.0,792.0,0.6308781349228195,0.24414003354040711,0.0,0.46904292388815305,0.6686802196760038,0.8339514875227279,1.0,792.0,1000.0277777777778,632.6398521589377,0.0,517.5,914.5,1402.0,3834.0,792.0,319.8320707070707,261.2522906592795,0.0,128.0,268.0,444.0,2123.0,792.0,39.375,67.4529533568495,0.0,0.0,8.0,52.0,430.0,792.0,156.07070707070707,228.34471147181833,0.0,19.0,68.5,188.0,1474.0,792.0,0.6308781349228195,0.24414003354040711,0.0,0.46904292388815305,0.6686802196760038,0.8339514875227279,1.0,792.0,0.2136530286183947,0.14543111040879542,0.0,0.09358330495970946,0.20411513240602225,0.3034793706081523,1.0,792.0,0.0258754591275064,0.04078274941596237,0.0,0.0,0.006091506753910712,0.037243544063252906,0.2632170978627671,792.0,0.11065398339188541,0.15481531114699668,0.0,0.01307581307581308,0.048732041029029866,0.14038712483688554,0.7624466571834992
hibrido,73.0,0.06481680792667265,0.12113781551500498,0.0,0.002946375957572186,0.02592087312414734,0.05832693783576362,0.6097328244274809,73.0,0.105408595962771,0.114127172930198,0.0,0.01497241922773838,0.05303476723629935,0.1824742268041237,0.4631294964028777,73.0,0.7475828152886386,0.2950200369473177,0.0,0.6765285996055227,0.8593481989708405,0.9561734213006597,0.9925373134328358,73.0,1334.3424657534247,747.3145109727914,0.0,864.0,1350.0,1798.0,3854.0,73.0,200.67123287671234,245.3718297918556,0.0,19.0,89.0,340.0,1072.0,73.0,32.68493150684932,81.1960721395932,0.0,0.0,0.0,27.0,495.0,73.0,76.32876712328768,143.61204054234688,0.0,0.0,29.0,73.0,694.0,73.0,0.7475828152886386,0.2950200369473177,0.0,0.6765285996055227,0.8593481989708405,0.9561734213006597,0.9925373134328358,73.0,0.105408595962771,0.114127172930198,0.0,0.01497241922773838,0.05303476723629935,0.1824742268041237,0.4631294964028777,73.0,0.017051627946951562,0.039038400594438014,0.0,0.0,0.0,0.01431127012522361,0.2357142857142857,73.0,0.04776517997972108,0.09895546189881267,0.0,0.0,0.01783060921248143,0.04257907542579075,0.6097328244274809
organico,344.0,0.05576988265447084,0.11118082952152111,0.0,0.004450238844404489,0.017217508417508416,0.04521253939858592,0.7547547547547547,344.0,0.0825639934314013,0.11473319791042856,0.0,0.0013147673799022912,0.034190531852717705,0.1181436160841009,0.6192893401015228,344.0,0.8355033332164534,0.23142449340291807,0.0,0.805150467793643,0.935957696827262,0.9746606884472798,1.0,344.0,1392.1598837209303,804.1184953336142,0.0,783.0,1269.5,1978.5,3747.0,344.0,124.26744186046511,184.24678749883515,0.0,2.75,46.5,160.75,1218.0,344.0,12.392441860465116,30.010009037260136,0.0,0.0,0.0,12.0,271.0,344.0,65.07558139534883,142.14089871365155,0.0,0.0,20.5,55.25,1059.0,344.0,0.8355033332164534,0.23142449340291807,0.0,0.805150467793643,0.935957696827262,0.9746606884472798,1.0,344.0,0.0825639934314013,0.11473319791042856,0.0,0.0013147673799022912,0.034190531852717705,0.1181436160841009,0.6192893401015228,344.0,0.00890402378877953,0.02054675012978787,0.0,0.0,0.0,0.009311209381292691,0.1856164383561644,344.0,0.04686585886569131,0.1012635621317198,0.0,0.0,0.013536790359938624,0.03432898993258155,0.7547547547547547
