cluster,p_walk,p_tpc,p_sitva,p_auto,p_moto,p_taxi,p_bike
0,0.28983111111111115,0.17846666666666666,0.16742222222222222,0.14489777777777776,0.12244888888888888,0.04985333333333333,0.011142222222222223
1,0.3538421052631579,0.19526315789473683,0.13760526315789473,0.09727631578947368,0.12469736842105264,0.03467105263157895,0.010289473684210527
2,0.2577081081081081,0.1700918918918919,0.15914054054054053,0.17255675675675675,0.1402972972972973,0.03530810810810811,0.012351351351351353
3,0.2865,0.2206875,0.0655,0.11424999999999999,0.176125,0.041999999999999996,0.017937500000000002
