street_pattern_cluster,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,intersection_density_km2,street_density_km2,area_km2
0,45.64888888888889,96.03555555555556,4.100505194750402,7408.927143360816,77.90348626896832,3.11784740707554,41.59111111111111,4750.8104033823,61.431111111111115,77.28911311457831,1.0396655944103697,159.85637917296899,17016.662927600762,0.2961002232626718
1,131.30263157894737,301.9868421052632,4.64376678400217,22318.289784424775,74.14604964696012,2.895876857369198,110.34210526315789,12954.13566593933,177.52631578947367,73.65594146188117,1.0542461562598109,166.96982300926334,17627.31404470391,0.971501557868221
2,23.12972972972973,42.15675675675676,3.3665941291110513,6377.863890244349,140.2197525034821,2.5989149735411208,17.25945945945946,3672.705775521387,25.016216216216215,137.72626929992217,1.1507226434438191,38.40778870090688,5349.4496881506175,1.3113154808248149
3,196.25,412.9375,4.1432622421869745,135627.76106797066,395.8714090582251,2.23806174214683,119.5625,70313.93435061973,214.25,394.1636208449802,1.3229713360416124,2.8380273031027063,1639.540251440101,52.41907625660253
