indexA,indexB,area_ratio,street_pattern,p_walk,p_tpc,p_sitva,p_auto,p_moto,p_taxi,p_bike
278.0,294.0,0.9944444521932304,gridiron,0.416,0.054,0.277,0.084,0.069,0.027,0.031
279.0,295.0,0.9957949537064366,gridiron,0.335,0.072,0.236,0.105,0.125,0.05,0.013
280.0,296.0,0.9919822674796812,organico,0.441,0.143,0.059,0.097,0.184,0.044,0.0
281.0,297.0,0.9944760807002648,organico,0.239,0.242,0.078,0.077,0.09,0.204,0.0
282.0,298.0,0.9956860874819154,hibrido,0.45,0.108,0.222,0.036,0.097,0.049,0.017
283.0,299.0,0.9931500172492916,hibrido,0.537,0.106,0.097,0.026,0.146,0.025,0.029
284.0,300.0,0.996004670491202,cul_de_sac,0.547,0.094,0.165,0.007,0.143,0.007,0.022
285.0,301.0,0.9936079785138202,organico,0.317,0.067,0.23,0.089,0.16,0.027,0.008
286.0,302.0,0.9914955945708808,organico,0.404,0.206,0.226,0.017,0.103,0.009,0.0
287.0,303.0,0.9948535043463964,organico,0.013,0.089,0.006,0.765,0.055,0.052,0.0
288.0,304.0,0.9944717062375952,organico,0.016,0.039,0.048,0.706,0.04,0.087,0.0
289.0,305.0,0.9953739530802626,organico,0.017,0.06,0.022,0.629,0.094,0.074,0.0
290.0,306.0,0.995466743437531,organico,0.071,0.055,0.144,0.589,0.061,0.036,0.0
291.0,307.0,0.996406589606781,hibrido,0.069,0.06,0.012,0.62,0.069,0.052,0.0
292.0,308.0,0.9969293536085808,cul_de_sac,0.102,0.079,0.067,0.582,0.129,0.02,0.0
293.0,309.0,0.9965004723194582,organico,0.021,0.146,0.081,0.534,0.067,0.093,0.0
294.0,310.0,0.9951664551868392,hibrido,0.059,0.021,0.014,0.76,0.017,0.021,0.0
295.0,311.0,0.9951027623924336,gridiron,0.335,0.058,0.0,0.337,0.0,0.103,0.0
296.0,312.0,0.9926232817308244,gridiron,0.047,0.047,0.0,0.757,0.101,0.047,0.0
297.0,313.0,0.9953817470962334,organico,0.032,0.128,0.129,0.5,0.089,0.069,0.0
298.0,314.0,0.9954870118259564,hibrido,0.05,0.059,0.105,0.551,0.101,0.105,0.0
299.0,315.0,0.9955541338355204,organico,0.048,0.068,0.141,0.557,0.06,0.052,0.01
