,subpattern_code,a,b,c,car_mode,transit_mode,bicycle_mode,walked_mode,car_share,transit_share,bicycle_share,walked_share
subpattern_code,1.0,0.19491216337890285,0.0731811867293988,-0.16367438227906278,-0.20334643755118148,0.005316536723190058,0.24597892945222138,0.11334969906846189,-0.16367438227906278,0.0731811867293988,0.2861615369424249,0.13967880750182454
a,0.19491216337890285,1.0,0.5127625794738081,-0.9070637756321659,-0.5263184901142948,0.36177678308823685,0.5134112609118159,0.9033262736515967,-0.9070637756321659,0.5127625794738081,0.6052519287774334,0.9718803954126437
b,0.0731811867293988,0.5127625794738081,1.0,-0.8265438767730143,-0.4467242317467857,0.8910597637725167,0.2599643093102317,0.4320576831833927,-0.8265438767730143,1.0,0.31964873675320776,0.49559339625959437
c,-0.16367438227906278,-0.9070637756321659,-0.8265438767730143,1.0,0.5641244012063132,-0.6741336458036928,-0.4640816058748071,-0.8041074068703954,1.0,-0.8265438767730143,-0.5535616093589728,-0.8802087510478467
car_mode,-0.20334643755118148,-0.5263184901142948,-0.4467242317467857,0.5641244012063132,1.0,-0.1393258739043218,-0.21066955107149504,-0.3152067474755812,0.5641244012063132,-0.4467242317467857,-0.4181408619198102,-0.48206018255784233
transit_mode,0.005316536723190058,0.36177678308823685,0.8910597637725167,-0.6741336458036928,-0.1393258739043218,1.0,0.23369502167148856,0.38623256333796935,-0.6741336458036928,0.8910597637725167,0.20387140179558924,0.356068928832072
bicycle_mode,0.24597892945222138,0.5134112609118159,0.2599643093102317,-0.4640816058748071,-0.21066955107149504,0.23369502167148856,1.0,0.3526018790706941,-0.46408160587480696,0.2599643093102316,0.9087236922997117,0.3220855419290053
walked_mode,0.11334969906846189,0.9033262736515967,0.4320576831833927,-0.8041074068703954,-0.3152067474755812,0.38623256333796935,0.3526018790706941,1.0,-0.8041074068703954,0.4320576831833927,0.3335941119922317,0.940975834446675
car_share,-0.16367438227906278,-0.9070637756321659,-0.8265438767730143,1.0,0.5641244012063132,-0.6741336458036928,-0.46408160587480696,-0.8041074068703954,1.0,-0.8265438767730143,-0.5535616093589728,-0.8802087510478467
transit_share,0.0731811867293988,0.5127625794738081,1.0,-0.8265438767730143,-0.4467242317467857,0.8910597637725167,0.2599643093102316,0.4320576831833927,-0.8265438767730143,1.0,0.31964873675320776,0.49559339625959437
bicycle_share,0.2861615369424249,0.6052519287774334,0.31964873675320776,-0.5535616093589728,-0.4181408619198102,0.20387140179558924,0.9087236922997117,0.3335941119922317,-0.5535616093589728,0.31964873675320776,1.0,0.4007863454749876
walked_share,0.13967880750182454,0.9718803954126437,0.49559339625959437,-0.8802087510478467,-0.48206018255784233,0.356068928832072,0.3220855419290053,0.940975834446675,-0.8802087510478467,0.49559339625959437,0.4007863454749876,1.0
